,generation,robot,distance,structure,is_feasible_design
20,0,21,1.9115,"[0 0 0 0 0 0 1 1 0 0 0 0 1 1 1 0 0 0 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 3
 3 0 0 0 0 1 1 0 0 0 0 1 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 3 3
 3 0 0 0 3 3 1 0 0 0 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3
 3 0 0 3 3 3 3 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3
 3 0 3 3 3 3 3 0 3 3 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3
 3 3 3 3 3 3 3 3 3 3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]",YES
21,0,22,0.129761,"[2 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 1 1 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 4 0 0 0 0 1 1 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 4 4 0 0 0 0 4 4 0 0 0 0 4 4 4 0 0 0 4 4 4 0 0 0 0 0 0
 0 0 0 4 4 4 0 0 0 4 4 4 0 0 0 4 4 4 0 0 0 4 4 4 4 0 0 4 4 4 4 0 0 0 0 0 0
 0 0 4 4 4 4 0 0 4 4 4 4 0 0 4 4 4 4 4 0 4 4 4 4 4 0 4 4 4 4 4 0 0 0 0 0 0
 0 4 4 4 4 4 0 4 4 4 4 4 0 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4]",YES
22,0,23,3.90313e-15,"[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]",YES
23,0,24,4.92743,"[4 4 4 4 4 4 1 1 4 4 4 4 1 1 1 4 4 4 1 1 1 1 1 4 1 1 1 1 1 1 1 1 1 1 1 1 4
 4 4 4 4 4 1 4 4 4 4 4 1 1 1 4 4 4 1 1 1 1 4 4 1 1 1 1 1 1 1 1 1 1 1 1 4 4
 4 4 4 4 1 4 4 4 4 4 1 1 1 4 4 4 1 1 1 1 4 4 1 1 1 1 1 1 1 1 1 1 1 1 4 4 4
 4 4 4 1 4 4 4 4 4 1 1 4 4 4 4 1 1 1 1 4 4 1 1 1 1 1 4 1 1 1 1 1 1 4 4 4 4
 4 4 4 4 4 4 4 4 1 1 4 4 4 4 1 1 1 4 4 4 1 1 1 1 1 4 1 1 1 1 1 1 4 4 4 4 4
 4 4 4 4 4 4 4 1 4 4 4 4 4 1 1 1 4 4 4 1 1 1 1 4 4 1 1 1 1 1 1]",YES
24,0,25,8.26161,"[1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 1
 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 1 1
 1 1 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 1 1 1
 1 1 1 0 3 3 3 3 3 0 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 2 1 1 1
 1 1 0 3 3 3 3 3 0 3 3 3 3 3 0 3 3 3 3 3 0 3 3 3 3 3 3 3 3 3 3 3 2 1 1 1 1
 1 0 0 3 1 1 1 0 0 3 3 3 3 0 3 3 3 3 3 0 3 3 3 3 3 0 3 3 3 3 3]",YES
25,1,2,7.39674,"[0 4 4 4 4 4 0 0 4 4 4 4 1 1 4 4 4 4 1 1 1 4 4 4 1 1 1 1 4 4 1 1 1 1 1 4 0
 0 4 4 4 4 0 0 0 4 4 4 0 0 0 4 4 4 1 1 1 4 4 4 1 1 1 1 4 4 1 1 1 1 1 4 0 0
 0 4 4 4 0 0 0 4 4 4 0 0 0 0 4 4 3 0 0 0 4 4 1 1 1 1 4 4 1 1 1 1 1 4 0 0 0
 0 4 4 0 0 0 0 4 4 0 0 0 0 0 4 0 0 0 0 0 4 1 1 0 0 0 4 1 1 1 1 1 1 0 0 0 0
 0 4 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 0 0 0 0]",YES
26,1,16,10.6862,"[0 3 3 3 3 3 0 0 3 3 3 3 0 0 0 3 3 3 0 0 0 0 3 3 0 0 0 0 0 0 0 0 0 0 0 0 4
 3 3 3 3 3 0 0 3 3 3 3 0 0 0 3 3 3 0 0 0 0 3 3 0 0 0 0 0 3 0 0 0 0 0 0 4 4
 3 3 3 3 4 4 3 3 3 3 0 0 3 3 3 3 0 0 0 3 3 3 0 0 0 0 3 3 0 0 0 0 0 3 4 4 3
 3 3 3 4 4 3 3 3 3 4 4 4 3 3 3 4 4 4 3 3 3 0 0 0 0 3 3 0 0 0 0 0 3 4 4 4 3
 3 3 4 4 4 3 3 3 4 4 4 3 3 3 4 4 4 4 3 3 4 4 4 4 3 3 0 0 0 0 3 3 4 4 4 3 3
 3 4 4 4 4 3 3 4 4 4 4 3 3 4 4 4 4 3 3 4 4 4 4 3 3 4 4 4 4 4 3]",YES
27,1,12,11.4622,"[2 3 3 3 3 3 0 3 3 3 3 3 0 3 3 3 3 3 0 0 3 3 3 3 0 0 3 3 3 3 0 0 3 3 3 3 3
 3 3 3 3 3 3 3 3 3 3 3 0 3 3 3 3 3 0 3 3 3 3 3 0 0 3 3 3 3 0 0 3 3 3 3 3 3
 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 0 3 3 3 3 3 0 3 3 3 3 3 0 3 3 3 3 3 4 3 3
 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 0 3 3 3 3 3 0 3 3 3 3 3 4 3 3 3
 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4 3 3 3 3
 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3]",YES
28,1,25,8.26161,"[1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 1
 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 1 1
 1 1 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 1 1 1
 1 1 1 0 3 3 3 3 3 0 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 2 1 1 1
 1 1 0 3 3 3 3 3 0 3 3 3 3 3 0 3 3 3 3 3 0 3 3 3 3 3 3 3 3 3 3 3 2 1 1 1 1
 1 0 0 3 1 1 1 0 0 3 3 3 3 0 3 3 3 3 3 0 3 3 3 3 3 0 3 3 3 3 3]",YES
29,1,14,4.61107,"[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 0
 0 1 1 1 1 0 1 1 1 1 1 4 4 4 4 4 1 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 0 0
 0 0 0 0 0 0 0 0 0 1 0 0 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 4 4 4 4 4 4 4 4 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 4 4]",YES
